Moreover, David  je the  HoDpu'  vo' the army  cher apart  vaD the  toy'taHghach  Dich  vo' the  puqloDpu'  vo' Asaph,  je  vo' Heman,  je  vo'     Jeduthun,  'Iv should prophesy  tlhej harps,  tlhej stringed instruments,  je  tlhej cymbals:  je the  mI'  vo'  chaH  'Iv  ta'ta' the  vum according Daq  chaj  toy'taHghach  ghaHta':
vo' the  puqloDpu'  vo' Asaph: Zaccur,  je Joseph,  je Nethaniah,  je Asharelah, the  puqloDpu'  vo' Asaph,  bIng the  ghop  vo' Asaph,  'Iv prophesied     after the order  vo' the  joH.
vo' Jeduthun; the  puqloDpu'  vo' Jeduthun: Gedaliah,  je Zeri,  je Jeshaiah, Hashabiah,  je Mattithiah,  jav,  bIng the  ghopmey  vo'  chaj  vav     Jeduthun  tlhej the harp,  'Iv prophesied  Daq giving  tlho'  je praising  joH'a'.
vo' Heman; the  puqloDpu'  vo' Heman: Bukkiah, Mattaniah, Uzziel, Shebuel,  je Jerimoth, Hananiah, Hanani, Eliathah, Giddalti,  je     Romamti-Ezer, Joshbekashah, Mallothi, Hothir, Mahazioth.
Hoch  Dochvammey were the  puqloDpu'  vo' Heman the  joH seer  Daq the  mu'mey  vo'  joH'a',  Daq lift  Dung the horn.  joH'a'  nobta'  Daq Heman fourteen  puqloDpu'  je  wej puqbe'pu'.
Hoch  Dochvammey were  bIng the  ghopmey  vo'  chaj  vav  vaD  bom  Daq the  tuq  vo'  joH'a',  tlhej cymbals, stringed instruments,  je harps,  vaD     the  toy'taHghach  vo' the  tuq  vo'  joH'a'; Asaph, Jeduthun,  je Heman  taH  bIng the order  vo' the  joH.
The  mI'  vo'  chaH,  tlhej  chaj  loDnI'pu'  'Iv were instructed  Daq  bomtaH  Daq  joH'a',  'ach  Hoch  'Iv were skillful,  ghaHta'  cha'  vatlh     eighty-eight.
chaH  chuH lots  vaD  chaj offices,  Hoch alike, as  QaQ the  mach as the  Dun, the teacher as the scholar.
DaH the  wa'Dich lot  ghoSta'  vo'  vaD Asaph  Daq Joseph: the  cha'DIch  Daq Gedaliah;  ghaH  je  Daj  loDnI'pu'  je  puqloDpu' were  cha' wa'maH:
the  wejDIch  Daq Zaccur,  Daj  puqloDpu'  je  Daj  loDnI'pu',  cha' wa'maH:
the fourth  Daq Izri,  Daj  puqloDpu'  je  Daj  loDnI'pu',  cha' wa'maH:
the fifth  Daq Nethaniah,  Daj  puqloDpu'  je  Daj  loDnI'pu',  cha' wa'maH:
the  javDich  Daq Bukkiah,  Daj  puqloDpu'  je  Daj  loDnI'pu',  cha' wa'maH:
the  SochDIch  Daq Jesharelah,  Daj  puqloDpu'  je  Daj  loDnI'pu',  cha' wa'maH:
the eighth  Daq Jeshaiah,  Daj  puqloDpu'  je  Daj  loDnI'pu',  cha' wa'maH:
the ninth  Daq Mattaniah,  Daj  puqloDpu'  je  Daj  loDnI'pu',  cha' wa'maH:
the tenth  Daq Shimei,  Daj  puqloDpu'  je  Daj  loDnI'pu',  cha' wa'maH:
the eleventh  Daq Azarel,  Daj  puqloDpu'  je  Daj  loDnI'pu',  cha' wa'maH:
the twelfth  Daq Hashabiah,  Daj  puqloDpu'  je  Daj  loDnI'pu',  cha' wa'maH:
vaD the thirteenth, Shubael,  Daj  puqloDpu'  je  Daj  loDnI'pu',  cha' wa'maH:
vaD the fourteenth, Mattithiah,  Daj  puqloDpu'  je  Daj  loDnI'pu',  cha' wa'maH:
vaD the fifteenth  Daq Jeremoth,  Daj  puqloDpu'  je  Daj  loDnI'pu',  cha' wa'maH:
vaD the  wa'maH javDich  Daq Hananiah,  Daj  puqloDpu'  je  Daj  loDnI'pu',  cha' wa'maH:
vaD the seventeenth  Daq Joshbekashah,  Daj  puqloDpu'  je  Daj  loDnI'pu',  cha' wa'maH:
vaD the eighteenth  Daq Hanani,  Daj  puqloDpu'  je  Daj  loDnI'pu',  cha' wa'maH:
vaD the nineteenth  Daq Mallothi,  Daj  puqloDpu'  je  Daj  loDnI'pu',  cha' wa'maH:
vaD the twentieth  Daq Eliathah,  Daj  puqloDpu'  je  Daj  loDnI'pu',  cha' wa'maH:
vaD the  wa'  je twentieth  Daq Hothir,  Daj  puqloDpu'  je  Daj  loDnI'pu',  cha' wa'maH:
vaD the  cha'  je twentieth  Daq Giddalti,  Daj  puqloDpu'  je  Daj  loDnI'pu',  cha' wa'maH:
vaD the  wej  je twentieth  Daq Mahazioth,  Daj  puqloDpu'  je  Daj  loDnI'pu',  cha' wa'maH:
vaD the  loS  je twentieth  Daq Romamti-Ezer,  Daj  puqloDpu'  je  Daj  loDnI'pu',  cha' wa'maH.
